date,all_load
2010-10-01,8571.460963040974
2010-10-02,8625.530620750593
2010-10-03,8050.811262153193
2010-10-04,7642.589488298228
2010-10-05,8218.442851002288
2010-10-06,8238.107074038013
2010-10-07,8200.432029780335
2010-10-08,8109.122230555731
2010-10-09,8416.744199336981
2010-10-10,8150.082749103198
2010-10-11,7894.548339125333
2010-10-12,8520.305871034747
2010-10-13,8809.705943336647
2010-10-14,8580.565893933152
2010-10-15,8666.6566538456
2010-10-16,8945.89151788183
2010-10-17,8299.213135736423
2010-10-18,7927.569109861237
2010-10-19,8357.108287468702
2010-10-20,8672.824541459315
2010-10-21,8494.985701646017
2010-10-22,8761.180805811242
2010-10-23,8760.481026970463
2010-10-24,7846.713313221029
2010-10-25,7800.0495398903295
2010-10-26,8771.397231853744
2010-10-27,8944.898582220747
2010-10-28,8290.78931391681
2010-10-29,8577.659389385875
2010-10-30,8712.286962353612
2010-10-31,8459.147845290328
