"date","seasonal","trend","residual","N-residual"
"2010-11-01",-433.9486198844815,8753.04250086922,123.42778601526152,199.91087341308594
"2010-11-02",-68.12749395254228,8752.119143790871,-330.697691838328,135.95314025878906
"2010-11-03",-69.20264716293407,8751.193447648013,-351.3514254850779,-264.0006408691406
"2010-11-04",-249.0100622962189,8750.265386675792,-117.04553237957408,-307.2052917480469
"2010-11-05",-317.1014315658426,8749.33493762906,-65.85163106321852,-109.28729248046875
"2010-11-06",-933.1169463886998,8748.402078587747,-50.24388219904722,-90.2834701538086
"2010-11-07",-1375.219465087315,8747.466788393387,79.75142669392699,-53.689613342285156
"2010-11-08",-477.2870731388928,8746.529046342668,167.00490179622466,58.421424865722656
"2010-11-09",22.637387387798224,8745.588831408906,-238.57080179670447,122.84336853027344
"2010-11-10",-9.481023959007093,8744.646122152402,-70.03155619339486,-278.827392578125
"2010-11-11",68.41403041979278,8743.700898427494,-71.33242884728861,-104.32923126220703
"2010-11-12",339.0507352515666,8742.753141039047,-82.99012629061508,-86.06409454345703
"2010-11-13",-364.623318866932,8741.802831546698,27.83715432023382,-53.61310577392578
"2010-11-14",-702.8647693650662,8740.849952178665,232.5550251864006,21.793739318847656
"2010-11-15",-129.99384177942164,8739.894485014342,152.62873176508035,250.4237518310547
"2010-11-16",284.46605267611045,8738.936410891867,-514.3828805679786,178.3067169189453
"2010-11-17",-239.72385788806497,8737.97571041818,-118.01081053011694,-397.7875061035156
"2010-11-18",-172.08003727051874,8737.012367000447,-111.4152467299282,-178.9993133544922
"2010-11-19",-34.69194995684323,8736.046365634355,-447.21233267751086,-79.81326293945312
"2010-11-20",-380.73355625516746,8735.07769278987,-720.8635115347024,-381.2654724121094
"2010-11-21",-959.3150085149342,8734.10633851837,-364.5836220034362,-693.8248901367188
"2010-11-22",196.30886396285644,8733.132297855607,-416.8601198184642,-395.588134765625
"2010-11-23",120.13077711415288,8732.155569361099,-208.22988847525264,-347.2637939453125
"2010-11-24",85.78740067548637,8731.176154639237,4.382902685276349,-243.37413024902344
"2010-11-25",472.7907091802036,8730.194057005803,-153.44497418600804,2.497865676879883
"2010-11-26",456.7576686318009,8729.20928027645,-258.5709069082495,-139.6205291748047
"2010-11-27",-197.36721484533348,8728.221829469005,-353.45773962367093,-156.53245544433594
"2010-11-28",-880.6220873167116,8727.231711710214,-279.7744163935022,-362.6130065917969
"2010-11-29",-379.40350465139056,8726.238936785414,-3.771057134023067,-262.7892150878906
"2010-11-30",-56.569256508091065,8725.243516485116,-202.33967697702428,3.674881935119629
