date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2022/2/1,78490.58594,76295.10938,75485.0625,73369.14844,74215.04688,75995.44531,79432.91406,83220.24219,86277.4375,85115.09375,84215.53906,83419.61719,82311.14063,80989.98438,79733.71094,79451.16406,79440.28906,80731.79688,83751.47656,84369.49219,84257.61719,82437.80469,80328.58594,78478.08594
2022/2/2,74425.125,72528.96875,71642.22656,71381.14063,70543.84375,71831.29688,74809.92188,79459.10156,81927.78906,82448.625,81974.82813,81005.59375,79568.82813,79150.92969,77676.82813,77302.67188,77222.82031,78886.57031,81342.98438,82352.67969,81703.57031,81339.83594,78870.42188,75931.22656
2022/2/3,79060.61719,78229.83594,78029.13281,75339.10156,76632.88281,77868.46875,83410.8125,89638.57031,91844.71094,91978.89063,90994.44531,89000.32031,87955.32031,86788.15625,85784.35156,85669.11719,83930.47656,86915.71875,89612.85156,92381.45313,91334.84375,89275.3125,86797.63281,82772.90625
2022/2/4,85155.52344,83121.82031,82795.0625,81584.21875,82309.375,83282.52344,87715.11719,93601.32031,96180.64063,94472.69531,94233.08594,92582.65625,91832.67188,90513.14844,89627.19531,88533.21094,88069.23438,90446.88281,94694.89063,96039.39063,94738.09375,92772.80469,90294.89844,87080.78906
2022/2/5,84009.53906,80986.42969,80674.95313,75795.3125,77562.20313,76533.26563,77688.27344,80073.47656,82929.69531,85054.60156,88743.4375,87752.07813,89604.48438,90422.07813,89958.0625,88580.58594,90124.14844,91314.48438,95093.3125,92887,93214.94531,89029.05469,87406.17969,83155.26563
2022/2/6,81513.32813,79586.03906,78186.13281,77687.35156,77323.60156,78175.9375,79560.05469,82177.80469,84493.32031,85828.71094,86313.91406,84992.78125,83760.33594,81742.70313,80929.33594,79402.5,79423.15625,81824.625,85188.60938,86955.25781,85974.14063,84860.95313,82585.69531,79823.07813
2022/2/7,78596.57813,75839.76563,74884.64063,74235.57031,74841.52344,75934.85938,78826.79688,83042.82031,85091.1875,85284.29688,83851.88281,83389.42188,82191.21875,79950.88281,78561.80469,78149.17188,77556.55469,79163.60938,83704.46094,84277.50781,83579.60938,82365.49219,79848.32813,76823.8125
2022/2/8,83065.57031,80844.5,79344.53906,78952.57031,79462.35938,81210.91406,84837.54688,91201.16406,93532.60938,92085.52344,91922.21094,89253.89844,88103.80469,86634.21094,85224.03125,83933.80469,83693.96875,85339.89844,88856.19531,90695.49219,90040.57813,88377.51563,85541.11719,81891.61719
2022/2/9,77701.42969,76020.85938,74660.70313,74056.33594,74660.47656,76563.67188,79287.57031,84507.77344,86265.58594,86176.0625,84975.65625,83871.76563,81911.08594,81517.14844,80495.82813,79062.6875,79181.55469,81479.77344,83905.54688,85048.05469,84527.84375,83205.39844,80298.73438,78076.91406
2022/2/10,75738.03906,72630.25,73450.32813,72299.92969,72234.39844,73674.05469,77074.5625,82121.71094,83452.79688,84147.67188,83974.73438,82130.07031,81566.17188,79463.28125,78938.92969,79331.92188,78486.67188,79598.4375,81774.89844,84003.33594,83308.5625,81878.82031,79721.52344,76402.59375
2022/2/11,75859.9375,74146.64844,72877.46094,73005.11719,72328.00781,73678.35156,77988.39063,81995.32031,84757.70313,85448.02344,83865.46875,83151.25781,82201.66406,80563.17188,78472.35938,78611.21875,78812.5625,80282.375,82736.79688,84073.08594,83409.66406,82102.60156,79954.10938,75879.28125
2022/2/12,73803.94531,72336.35156,70532.23438,71436.55469,70558.32813,72353.39063,72251.67188,74543.55469,76830.16406,79422.25781,80193.94531,78012.07031,78561.64844,77033.89063,75989.07031,76273.47656,75186.48438,76673.45313,80361.07031,80927.96875,80811.69531,80090.42188,76903.0625,75454.64844
2022/2/13,77147.71094,76104.33594,74871.60938,73181.10938,73987.74219,74644.82031,75276.89844,78311.71094,80626.91406,82615.07031,82907.57031,81833.97656,80786.42188,80237.94531,78546.85156,78039.28906,77837.64063,80197.32031,83482.95313,85038.53125,84742.73438,82177.67188,80624.05469,77812.375
2022/2/14,78314.78125,76743.05469,75533.34375,75288.05469,75483.875,76868.80469,80147.0625,85085.24219,87116.75781,86696.16406,85983.80469,85428.65625,82849.84375,83006.90625,81616.20313,80471.67188,80144.1875,82212.49219,85842.32813,86305.63281,86175.64844,84874.8125,81975.14844,79380.25781
2022/2/15,78777.55469,77288.61719,76636.25781,76680.79688,75653.38281,77205.54688,81390.90625,86437.6875,87287.82813,87715.10156,86252.26563,85711.63281,83897.15625,83463.89063,81791.46875,80046.73438,80300.04688,81581.67969,85142.78125,86152.91406,86384.42969,84523.625,81863.14844,78626.24219
2022/2/16,76773.25781,74471.92188,74451.125,74420.78906,74308.14063,74012.27344,77974.11719,82490.41406,84662.85938,84663.75,83617.4375,82532.00781,81056.49219,80197.21875,78649.53125,78370.375,78556.15625,79051.49219,81746.16406,83560.59375,83095.54688,81451.1875,79410.24219,76083.42188
2022/2/17,71978.41406,70047.42188,68824.80469,67882.60938,67813.5,69821.625,72562.23438,77170.02344,78915.00781,79729.49219,80125.22656,80177.85156,79385.71875,78921.32813,78091.83594,77118.71094,77242.64063,79339.24219,81908.09375,82860.46094,82949.04688,80926.57813,78666.03125,74840.07813
2022/2/18,76026.11719,75219.41406,73460.27344,72782.61719,72818.875,74390.47656,78641.92969,84525.30469,87190.89063,87749.49219,88412.75,87075.57813,86599.41406,86620.46094,85660.95313,85799.03125,85847.79688,86877.125,89699.89844,91151.41406,89110.71875,88788.20313,83998.32031,81547.55469
2022/2/19,79943.90625,78718.74219,76782.99219,76326.04688,76868.14844,76981.46094,78921.88281,80711.69531,83679.20313,84459.28906,84651.6875,83712.34375,82169.14063,80712.64063,79311.11719,78267.78125,78365.29688,79654.9375,83309.01563,85077.70313,84841.96875,83272.30469,81849.5,79392.63281
2022/2/20,76001.49219,74296.34375,72941.3125,72543.00781,72757.00781,73518.27344,74147.64063,77327.5625,78791.38281,80660.09375,80890.64063,79859.32813,78569.14063,77399.08594,75751.94531,75161.52344,74993.83594,76840.77344,80056.96094,81889.375,81371.6875,79925.24219,78116,74976.60156
2022/2/21,70307.82031,68157.78906,67569.61719,67174.86719,66931.97656,68257.07031,71550.78906,75629.17969,77223.14063,78641.02344,78097.34375,78187.0625,76339.64063,75903.14063,75527.07031,74667.60938,74294.75781,75338.10156,77865.94531,79634.63281,79377.35938,77865.96094,75797.4375,72511.86719
2022/2/22,72766.67188,69965.46875,69272.28125,68483.01563,68807.25,70599.41406,75088.40625,80081.29688,81598.0625,82448.25781,83040.97656,82656.99219,81041.08594,81211.09375,80293.67969,78183.28906,78792.16406,80121.34375,82725,84237.99219,83302.20313,82964.03906,79483.21094,75448.27344
2022/2/23,74826.44531,71939.36719,71093.125,69358.85156,70198.15625,72719.36719,77083.91406,81142.23438,85476.36719,86484.42969,84260.03906,84813.03906,84025.32813,82241.08594,83107.74219,82701.50781,82339.19531,83967.53125,86249.69531,88029.375,86031.85938,85238.76563,82765.44531,78651.4375
2022/2/24,84016.82031,82480.85938,81393.60156,80848.96094,80856.35938,82818.41406,87049.71094,93533.3125,95568.25781,94564.41406,93132.32031,91815.85938,90243.14844,88418.78906,87149.60938,86494.48438,85982.10156,88143.94531,92306.3125,93857.85156,93265.38281,91396.74219,88507.10938,85031.32813
2022/2/25,83497.9375,80872.86719,80316.73438,80256.64063,80240.44531,81910.02344,86041.59375,92232.47656,94564.34375,94003.83594,92706.60156,90972.29688,89517.24219,87678.21875,86840.625,85993.59375,86138.4375,88554.79688,92276.42969,92262.61719,92500.625,90259.27344,87477.13281,84218.36719
2022/2/26,80338.51563,78597.78125,77094.91406,76619.76563,76857.57813,75284.07031,77880.95313,81200.01563,81827.0625,85212.96094,85025.11719,84830.23438,83540.22656,81537.01563,81200.98438,80934.46094,79661.86719,80354.5625,84953.50781,85428.21094,86479.77344,84247.47656,81580.25781,78740.46094
2022/2/27,75631.85938,74468.33594,72432.9375,72817.03906,71716.73438,71749.48438,74264.83594,77388.57031,78604.39844,80821.85938,80695.75,79932.42969,78762.03125,77030.49219,75191.75,75249.99219,74640.41406,76708.23438,79996.03125,82198.95313,81730.8125,79915.75,77452,75391.00781
2022/2/28,73095.16406,70924.67969,69833.52344,69417.35156,69408.79688,70798.47656,72922.57813,76154.91406,79151.45313,79748.22656,79551.85938,78963.42969,78502.07813,77166.8125,76136.30469,76120.80469,76020.5625,78366.09375,81317.78906,81954.74219,82144.54688,80596.83594,78208.08594,74742.33594
